"Gene.Number","Ensembl.ID","Gene.Name"
0,"ENSMUSG00000000078","Klf6"
1,"ENSMUSG00000000142","Axin2"
2,"ENSMUSG00000000303","Cdh1"
3,"ENSMUSG00000000489","Pdgfb"
4,"ENSMUSG00000000567","Sox9"
5,"ENSMUSG00000000805","Car4"
6,"ENSMUSG00000000938","Hoxa10"
7,"ENSMUSG00000001225","Slc26a3"
8,"ENSMUSG00000001280","Sp1"
9,"ENSMUSG00000001642","Akr1b3"
10,"ENSMUSG00000001670","Tat"
11,"ENSMUSG00000002028","Kmt2a"
12,"ENSMUSG00000002413","Braf"
13,"ENSMUSG00000002428","Hltf"
14,"ENSMUSG00000002885","Adgre5"
15,"ENSMUSG00000002983","Relb"
16,"ENSMUSG00000002997","Prkar2b"
17,"ENSMUSG00000003031","Cdkn1b"
18,"ENSMUSG00000003032","Klf4"
19,"ENSMUSG00000003051","Elf3"
20,"ENSMUSG00000003154","Foxj2"
21,"ENSMUSG00000003308","Keap1"
22,"ENSMUSG00000003534","Ddr1"
23,"ENSMUSG00000003541","Ier3"
24,"ENSMUSG00000004040","Stat3"
25,"ENSMUSG00000004591","Pkn2"
26,"ENSMUSG00000004980","Hnrnpa2b1"
27,"ENSMUSG00000005034","Prkacb"
28,"ENSMUSG00000005087","Cd44"
29,"ENSMUSG00000005514","Por"
30,"ENSMUSG00000005533","Igf1r"
31,"ENSMUSG00000005534","Insr"
32,"ENSMUSG00000005583","Mef2c"
33,"ENSMUSG00000005802","Slc30a4"
34,"ENSMUSG00000005836","Gata6"
35,"ENSMUSG00000005871","Apc"
36,"ENSMUSG00000005893","Nr2c2"
37,"ENSMUSG00000005958","Ephb3"
38,"ENSMUSG00000006699","Cdc42"
39,"ENSMUSG00000006932","Ctnnb1"
40,"ENSMUSG00000009376","Met"
41,"ENSMUSG00000009575","Cbx5"
42,"ENSMUSG00000009828","Cilk1"
43,"ENSMUSG00000009995","Tafazzin"
44,"ENSMUSG00000010175","Prox1"
45,"ENSMUSG00000011034","Slc5a1"
46,"ENSMUSG00000011114","Tbrg1"
47,"ENSMUSG00000013643","Lypd8"
48,"ENSMUSG00000013663","Pten"
49,"ENSMUSG00000014077","Chp1"
50,"ENSMUSG00000014850","Msh3"
51,"ENSMUSG00000015312","Gadd45b"
52,"ENSMUSG00000015656","Hspa8"
53,"ENSMUSG00000015837","Sqstm1"
54,"ENSMUSG00000015839","Nfe2l2"
55,"ENSMUSG00000015846","Rxra"
56,"ENSMUSG00000016458","Wt1"
57,"ENSMUSG00000016933","Plcg1"
58,"ENSMUSG00000017057","Il13ra1"
59,"ENSMUSG00000017950","Hnf4a"
60,"ENSMUSG00000018326","Ywhab"
61,"ENSMUSG00000018569","Cldn7"
62,"ENSMUSG00000018770","Atp5g3"
63,"ENSMUSG00000018927","Ccl6"
64,"ENSMUSG00000018965","Ywhah"
65,"ENSMUSG00000019777","Hdac2"
66,"ENSMUSG00000019850","Tnfaip3"
67,"ENSMUSG00000019890","Nts"
68,"ENSMUSG00000019916","P4ha1"
69,"ENSMUSG00000019929","Dcn"
70,"ENSMUSG00000019966","Kitl"
71,"ENSMUSG00000019987","Arg1"
72,"ENSMUSG00000020027","Socs2"
73,"ENSMUSG00000020044","Timp3"
74,"ENSMUSG00000020062","Slc5a8"
75,"ENSMUSG00000020063","Sirt1"
76,"ENSMUSG00000020075","Ddx21"
77,"ENSMUSG00000020122","Egfr"
78,"ENSMUSG00000020160","Meis1"
79,"ENSMUSG00000020184","Mdm2"
80,"ENSMUSG00000020275","Rel"
81,"ENSMUSG00000020361","Hspa4"
82,"ENSMUSG00000020484","Xbp1"
83,"ENSMUSG00000020609","Apob"
84,"ENSMUSG00000020612","Prkar1a"
85,"ENSMUSG00000020644","Id2"
86,"ENSMUSG00000020661","Dnmt3a"
87,"ENSMUSG00000020717","Pecam1"
88,"ENSMUSG00000020719","Ddx5"
89,"ENSMUSG00000020733","Slc9a3r1"
90,"ENSMUSG00000020788","Atp2a3"
91,"ENSMUSG00000020849","Ywhae"
92,"ENSMUSG00000020911","Krt19"
93,"ENSMUSG00000020914","Top2a"
94,"ENSMUSG00000021065","Fut8"
95,"ENSMUSG00000021109","Hif1a"
96,"ENSMUSG00000021224","Numb"
97,"ENSMUSG00000021250","Fos"
98,"ENSMUSG00000021264","Yy1"
99,"ENSMUSG00000021367","Edn1"
100,"ENSMUSG00000021408","Ripk1"
101,"ENSMUSG00000021432","Slc35b3"
102,"ENSMUSG00000021466","Ptch1"
103,"ENSMUSG00000021549","Rasa1"
104,"ENSMUSG00000021614","Vcan"
105,"ENSMUSG00000021638","Ocln"
106,"ENSMUSG00000021670","Hmgcr"
107,"ENSMUSG00000021699","Pde4d"
108,"ENSMUSG00000021733","Slc4a7"
109,"ENSMUSG00000021754","Map3k1"
110,"ENSMUSG00000021785","Ngly1"
111,"ENSMUSG00000021936","Mapk8"
112,"ENSMUSG00000021948","Prkcd"
113,"ENSMUSG00000021959","Lats2"
114,"ENSMUSG00000021969","Zdhhc20"
115,"ENSMUSG00000022051","Bnip3l"
116,"ENSMUSG00000022105","Rb1"
117,"ENSMUSG00000022114","Spry2"
118,"ENSMUSG00000022126","Acod1"
119,"ENSMUSG00000022240","Ctnnd2"
120,"ENSMUSG00000022285","Ywhaz"
121,"ENSMUSG00000022462","Slc38a2"
122,"ENSMUSG00000022479","Vdr"
123,"ENSMUSG00000022510","Trp63"
124,"ENSMUSG00000022521","Crebbp"
125,"ENSMUSG00000022528","Hes1"
126,"ENSMUSG00000022575","Gsdmd"
127,"ENSMUSG00000022636","Alcam"
128,"ENSMUSG00000022651","Retnlg"
129,"ENSMUSG00000022797","Tfrc"
130,"ENSMUSG00000022824","Muc13"
131,"ENSMUSG00000022865","Cxadr"
132,"ENSMUSG00000022892","App"
133,"ENSMUSG00000022906","Parp9"
134,"ENSMUSG00000022969","Il10rb"
135,"ENSMUSG00000022982","Sod1"
136,"ENSMUSG00000023057","Fabp2"
137,"ENSMUSG00000023067","Cdkn1a"
138,"ENSMUSG00000023073","Slc10a2"
139,"ENSMUSG00000023169","Slc38a1"
140,"ENSMUSG00000023333","Gcm1"
141,"ENSMUSG00000023913","Pla2g7"
142,"ENSMUSG00000023915","Tnfrsf21"
143,"ENSMUSG00000023951","Vegfa"
144,"ENSMUSG00000023959","Clic5"
145,"ENSMUSG00000024029","Tff3"
146,"ENSMUSG00000024140","Epas1"
147,"ENSMUSG00000024190","Dusp1"
148,"ENSMUSG00000024197","Plin3"
149,"ENSMUSG00000024256","Adcyap1"
150,"ENSMUSG00000024290","Rock1"
151,"ENSMUSG00000024335","Brd2"
152,"ENSMUSG00000024359","Hspa9"
153,"ENSMUSG00000024401","Tnf"
154,"ENSMUSG00000024429","Gnl1"
155,"ENSMUSG00000024431","Nr3c1"
156,"ENSMUSG00000024479","Mal2"
157,"ENSMUSG00000024521","Pmaip1"
158,"ENSMUSG00000024539","Ptpn2"
159,"ENSMUSG00000024659","Anxa1"
160,"ENSMUSG00000024767","Otub1"
161,"ENSMUSG00000024789","Jak2"
162,"ENSMUSG00000024812","Tjp2"
163,"ENSMUSG00000024960","Plcb3"
164,"ENSMUSG00000024974","Smc3"
165,"ENSMUSG00000024985","Tcf7l2"
166,"ENSMUSG00000024998","Plce1"
167,"ENSMUSG00000025025","Mxi1"
168,"ENSMUSG00000025130","P4hb"
169,"ENSMUSG00000025139","Tollip"
170,"ENSMUSG00000025202","Scd3"
171,"ENSMUSG00000025243","Slc6a20b"
172,"ENSMUSG00000025261","Huwe1"
173,"ENSMUSG00000025278","Flnb"
174,"ENSMUSG00000025283","Sat1"
175,"ENSMUSG00000025358","Cdk2"
176,"ENSMUSG00000025383","Il23a"
177,"ENSMUSG00000025393","Atp5b"
178,"ENSMUSG00000025612","Bach1"
179,"ENSMUSG00000025790","Slco3a1"
180,"ENSMUSG00000025809","Itgb1"
181,"ENSMUSG00000025812","Pard3"
182,"ENSMUSG00000025860","Xiap"
183,"ENSMUSG00000025880","Smad7"
184,"ENSMUSG00000025888","Casp1"
185,"ENSMUSG00000025903","Lypla1"
186,"ENSMUSG00000025993","Slc40a1"
187,"ENSMUSG00000026031","Cflar"
188,"ENSMUSG00000026043","Col3a1"
189,"ENSMUSG00000026062","Slc9a2"
190,"ENSMUSG00000026073","Il1r2"
191,"ENSMUSG00000026175","Vil1"
192,"ENSMUSG00000026180","Cxcr2"
193,"ENSMUSG00000026289","Atg16l1"
194,"ENSMUSG00000026321","Tnfrsf11a"
195,"ENSMUSG00000026380","Tfcp2l1"
196,"ENSMUSG00000026385","Dbi"
197,"ENSMUSG00000026399","Cd55"
198,"ENSMUSG00000026483","Niban1"
199,"ENSMUSG00000026568","Mpc2"
200,"ENSMUSG00000026581","Sell"
201,"ENSMUSG00000026628","Atf3"
202,"ENSMUSG00000026872","Zeb2"
203,"ENSMUSG00000026883","Dab2ip"
204,"ENSMUSG00000027068","Dhrs9"
205,"ENSMUSG00000027187","Cat"
206,"ENSMUSG00000027219","Slc28a2"
207,"ENSMUSG00000027227","Sord"
208,"ENSMUSG00000027350","Chgb"
209,"ENSMUSG00000027358","Bmp2"
210,"ENSMUSG00000027377","Mall"
211,"ENSMUSG00000027381","Bcl2l11"
212,"ENSMUSG00000027397","Slc20a1"
213,"ENSMUSG00000027398","Il1b"
214,"ENSMUSG00000027399","Il1a"
215,"ENSMUSG00000027508","Pag1"
216,"ENSMUSG00000027513","Pck1"
217,"ENSMUSG00000027556","Car1"
218,"ENSMUSG00000027562","Car2"
219,"ENSMUSG00000027665","Pik3ca"
220,"ENSMUSG00000027684","Mecom"
221,"ENSMUSG00000027692","Tnik"
222,"ENSMUSG00000027695","Pld1"
223,"ENSMUSG00000027737","Slc7a11"
224,"ENSMUSG00000027797","Dclk1"
225,"ENSMUSG00000027852","Nras"
226,"ENSMUSG00000027878","Notch2"
227,"ENSMUSG00000027940","Tpm3"
228,"ENSMUSG00000027957","Slc35a3"
229,"ENSMUSG00000028036","Ptgfr"
230,"ENSMUSG00000028124","Gclm"
231,"ENSMUSG00000028163","Nfkb1"
232,"ENSMUSG00000028173","Wls"
233,"ENSMUSG00000028191","Bcl10"
234,"ENSMUSG00000028284","Map3k7"
235,"ENSMUSG00000028293","Slc35a1"
236,"ENSMUSG00000028329","Xpa"
237,"ENSMUSG00000028399","Ptprd"
238,"ENSMUSG00000028412","Slc44a1"
239,"ENSMUSG00000028494","Plin2"
240,"ENSMUSG00000028521","Slc35d1"
241,"ENSMUSG00000028525","Pde4b"
242,"ENSMUSG00000028530","Jak1"
243,"ENSMUSG00000028577","Plaa"
244,"ENSMUSG00000028603","Scp2"
245,"ENSMUSG00000028645","Slc2a1"
246,"ENSMUSG00000028869","Gnl2"
247,"ENSMUSG00000028883","Sema3a"
248,"ENSMUSG00000029082","Bst1"
249,"ENSMUSG00000029086","Prom1"
250,"ENSMUSG00000029131","Dnajb6"
251,"ENSMUSG00000029167","Ppargc1a"
252,"ENSMUSG00000029188","Slc34a2"
253,"ENSMUSG00000029221","Slc30a9"
254,"ENSMUSG00000029249","Rest"
255,"ENSMUSG00000029337","Fgf5"
256,"ENSMUSG00000029470","P2rx4"
257,"ENSMUSG00000029484","Anxa3"
258,"ENSMUSG00000029505","Ep400"
259,"ENSMUSG00000029563","Foxp2"
260,"ENSMUSG00000029580","Actb"
261,"ENSMUSG00000029623","Pdap1"
262,"ENSMUSG00000029635","Cdk8"
263,"ENSMUSG00000029761","Cald1"
264,"ENSMUSG00000030067","Foxp1"
265,"ENSMUSG00000030096","Slc6a6"
266,"ENSMUSG00000030162","Olr1"
267,"ENSMUSG00000030180","Kdm5a"
268,"ENSMUSG00000030265","Kras"
269,"ENSMUSG00000030314","Atg7"
270,"ENSMUSG00000030340","Scnn1a"
271,"ENSMUSG00000030342","Cd9"
272,"ENSMUSG00000030516","Tjp1"
273,"ENSMUSG00000030759","Far1"
274,"ENSMUSG00000030762","Aqp8"
275,"ENSMUSG00000030782","Tgfb1i1"
276,"ENSMUSG00000030786","Itgam"
277,"ENSMUSG00000030873","Scnn1b"
278,"ENSMUSG00000030987","Stim1"
279,"ENSMUSG00000031012","Cask"
280,"ENSMUSG00000031156","Slc35a2"
281,"ENSMUSG00000031217","Efnb1"
282,"ENSMUSG00000031373","Car5b"
283,"ENSMUSG00000031431","Tsc22d3"
284,"ENSMUSG00000031497","Tnfsf13b"
285,"ENSMUSG00000031536","Polb"
286,"ENSMUSG00000031537","Ikbkb"
287,"ENSMUSG00000031558","Slit2"
288,"ENSMUSG00000031584","Gsr"
289,"ENSMUSG00000031628","Casp3"
290,"ENSMUSG00000031666","Rbl2"
291,"ENSMUSG00000031667","Aktip"
292,"ENSMUSG00000031712","Il15"
293,"ENSMUSG00000031765","Mt1"
294,"ENSMUSG00000031910","Has3"
295,"ENSMUSG00000031987","Egln1"
296,"ENSMUSG00000032068","Plet1"
297,"ENSMUSG00000032083","Apoa1"
298,"ENSMUSG00000032178","Ilf3"
299,"ENSMUSG00000032226","Gcnt3"
300,"ENSMUSG00000032232","Cgnl1"
301,"ENSMUSG00000032294","Pkm"
302,"ENSMUSG00000032373","Car12"
303,"ENSMUSG00000032449","Slc25a36"
304,"ENSMUSG00000032487","Ptgs2"
305,"ENSMUSG00000032518","Rpsa"
306,"ENSMUSG00000032548","Slco2a1"
307,"ENSMUSG00000032562","Gnai2"
308,"ENSMUSG00000032691","Nlrp3"
309,"ENSMUSG00000032883","Acsl3"
310,"ENSMUSG00000032902","Slc16a1"
311,"ENSMUSG00000032932","Hspa13"
312,"ENSMUSG00000032998","Foxj3"
313,"ENSMUSG00000033124","Atg9a"
314,"ENSMUSG00000033446","Lpar6"
315,"ENSMUSG00000034101","Ctnnd1"
316,"ENSMUSG00000034248","Slc25a37"
317,"ENSMUSG00000034320","Slc26a2"
318,"ENSMUSG00000035027","Map2k2"
319,"ENSMUSG00000035086","Becn1"
320,"ENSMUSG00000035105","Egln3"
321,"ENSMUSG00000035133","Arhgap5"
322,"ENSMUSG00000035401","Emsy"
323,"ENSMUSG00000035451","Foxa1"
324,"ENSMUSG00000036390","Gadd45a"
325,"ENSMUSG00000036533","Cdc42ep3"
326,"ENSMUSG00000037025","Foxa2"
327,"ENSMUSG00000037369","Kdm6a"
328,"ENSMUSG00000037390","Muc3"
329,"ENSMUSG00000037664","Cdkn1c"
330,"ENSMUSG00000037685","Atp8a1"
331,"ENSMUSG00000037706","Cd81"
332,"ENSMUSG00000037815","Ctnna1"
333,"ENSMUSG00000037860","Aim2"
334,"ENSMUSG00000038150","Ormdl3"
335,"ENSMUSG00000038178","Slc43a2"
336,"ENSMUSG00000038227","Hoxa9"
337,"ENSMUSG00000038235","F11r"
338,"ENSMUSG00000038253","Hoxa5"
339,"ENSMUSG00000038267","Slc22a23"
340,"ENSMUSG00000038615","Nfe2l1"
341,"ENSMUSG00000038668","Lpar1"
342,"ENSMUSG00000038745","Nlrp6"
343,"ENSMUSG00000038894","Irs2"
344,"ENSMUSG00000039100","Marchf6"
345,"ENSMUSG00000039145","Camk1d"
346,"ENSMUSG00000039191","Rbpj"
347,"ENSMUSG00000039217","Il18"
348,"ENSMUSG00000039239","Tgfb2"
349,"ENSMUSG00000039405","Prss23"
350,"ENSMUSG00000039542","Ncam1"
351,"ENSMUSG00000039942","Ptger4"
352,"ENSMUSG00000039959","Hip1"
353,"ENSMUSG00000040021","Lats1"
354,"ENSMUSG00000040152","Thbs1"
355,"ENSMUSG00000040274","Cdk6"
356,"ENSMUSG00000040584","Abcb1a"
357,"ENSMUSG00000040774","Cept1"
358,"ENSMUSG00000040891","Foxa3"
359,"ENSMUSG00000041261","Car8"
360,"ENSMUSG00000041417","Pik3r1"
361,"ENSMUSG00000041515","Irf8"
362,"ENSMUSG00000041872","Il17f"
363,"ENSMUSG00000041961","Znrf3"
364,"ENSMUSG00000042410","Agps"
365,"ENSMUSG00000042428","Mgat3"
366,"ENSMUSG00000042499","Hoxd11"
367,"ENSMUSG00000042688","Mapk6"
368,"ENSMUSG00000042745","Id1"
369,"ENSMUSG00000042817","Flt3"
370,"ENSMUSG00000043733","Ptpn11"
371,"ENSMUSG00000044167","Foxo1"
372,"ENSMUSG00000044393","Dsg2"
373,"ENSMUSG00000044583","Tlr7"
374,"ENSMUSG00000044674","Fzd1"
375,"ENSMUSG00000045038","Prkce"
376,"ENSMUSG00000045394","Epcam"
377,"ENSMUSG00000045502","Hcar2"
378,"ENSMUSG00000045551","Fpr1"
379,"ENSMUSG00000047139","Cd24a"
380,"ENSMUSG00000048047","Zbtb33"
381,"ENSMUSG00000048490","Nrip1"
382,"ENSMUSG00000048756","Foxo3"
383,"ENSMUSG00000048833","Slc39a9"
384,"ENSMUSG00000048865","Arhgap30"
385,"ENSMUSG00000049382","Krt8"
386,"ENSMUSG00000049604","Hoxb13"
387,"ENSMUSG00000049624","Slc17a5"
388,"ENSMUSG00000049908","Gja8"
389,"ENSMUSG00000050199","Lgr4"
390,"ENSMUSG00000050295","Foxc1"
391,"ENSMUSG00000050335","Lgals3"
392,"ENSMUSG00000050708","Ftl1"
393,"ENSMUSG00000050965","Prkca"
394,"ENSMUSG00000051314","Ffar2"
395,"ENSMUSG00000051331","Cacna1c"
396,"ENSMUSG00000051391","Ywhag"
397,"ENSMUSG00000051747","Ttn"
398,"ENSMUSG00000052684","Jun"
399,"ENSMUSG00000052889","Prkcb"
400,"ENSMUSG00000053477","Tcf4"
401,"ENSMUSG00000054263","Lifr"
402,"ENSMUSG00000054364","Rhob"
403,"ENSMUSG00000054385","Ceacam2"
404,"ENSMUSG00000054404","Slfn5"
405,"ENSMUSG00000054414","Slc30a7"
406,"ENSMUSG00000054452","Tle5"
407,"ENSMUSG00000054693","Adam10"
408,"ENSMUSG00000055065","Ddx17"
409,"ENSMUSG00000055210","Foxd2"
410,"ENSMUSG00000055373","Fut9"
411,"ENSMUSG00000055976","Cldn23"
412,"ENSMUSG00000056054","S100a8"
413,"ENSMUSG00000056071","S100a9"
414,"ENSMUSG00000056153","Socs6"
415,"ENSMUSG00000056501","Cebpb"
416,"ENSMUSG00000056529","Ptafr"
417,"ENSMUSG00000057367","Birc2"
418,"ENSMUSG00000057777","Mab21l2"
419,"ENSMUSG00000058063","Trim31"
420,"ENSMUSG00000058099","Nfam1"
421,"ENSMUSG00000058254","Tspan7"
422,"ENSMUSG00000058756","Thra"
423,"ENSMUSG00000059248","Septin9"
424,"ENSMUSG00000059325","Hopx"
425,"ENSMUSG00000059436","Max"
426,"ENSMUSG00000059456","Ptk2b"
427,"ENSMUSG00000060126","Tpt1"
428,"ENSMUSG00000060961","Slc4a4"
429,"ENSMUSG00000061143","Maml3"
430,"ENSMUSG00000061589","Dot1l"
431,"ENSMUSG00000061904","Slc25a3"
432,"ENSMUSG00000062312","Erbb2"
433,"ENSMUSG00000062825","Actg1"
434,"ENSMUSG00000062908","Acadm"
435,"ENSMUSG00000063065","Mapk3"
436,"ENSMUSG00000063229","Ldha"
437,"ENSMUSG00000063358","Mapk1"
438,"ENSMUSG00000063856","Gpx1"
439,"ENSMUSG00000063972","Nr6a1"
440,"ENSMUSG00000064351","mt-Co1"
441,"ENSMUSG00000064358","mt-Co3"
442,"ENSMUSG00000066150","Slc31a1"
443,"ENSMUSG00000067336","Bmpr2"
444,"ENSMUSG00000068036","Afdn"
445,"ENSMUSG00000068452","Duox2"
446,"ENSMUSG00000068876","Cgn"
447,"ENSMUSG00000069769","Msi2"
448,"ENSMUSG00000070348","Ccnd1"
449,"ENSMUSG00000070544","Top1"
450,"ENSMUSG00000070777","Ceacam20"
451,"ENSMUSG00000071072","Ptges3"
452,"ENSMUSG00000071203","Naip5"
453,"ENSMUSG00000071356","Reg3b"
454,"ENSMUSG00000071713","Csf2rb"
455,"ENSMUSG00000073802","Cdkn2b"
456,"ENSMUSG00000074715","Ccl28"
457,"ENSMUSG00000075701","Selenos"
458,"ENSMUSG00000078153","Psme2b"
459,"ENSMUSG00000078942","Naip6"
460,"ENSMUSG00000078945","Naip2"
461,"ENSMUSG00000082956","Naip3"
462,"ENSMUSG00000089682","Bcl2l2"
463,"ENSMUSG00000089774","Slc5a3"
464,"ENSMUSG00000098557","Kctd12"
